x,y
390.1798764907037,647.8422066260354
389.5370504136081,648.8079484207467
388.9842056258932,646.3101484390911
388.65674390217526,647.6623582952301
388.60050953621953,652.3400706473817
389.3211135162742,652.1546203364082
390.27403771026337,645.1934467682759
390.6043570252552,645.5871299081407
390.50378705816877,656.4085863311498
391.0239581532594,660.9833434788184
391.96121160159714,657.6679771872256
392.5882243935072,652.8773569677425
393.04740058222046,651.633289825435
392.8125648153758,656.8304079275667
391.85773367972826,660.8426700707087
391.16165132703713,652.767681301703
389.9439083841682,646.2849001914233
389.16328441706736,648.7184120987778
389.1515531750075,652.1297947845985
388.3038672435405,650.5871938797434
388.04585578566076,648.6515144690946
388.4740201240692,651.4697259685915
389.52287908026756,654.2970797960465
390.9430055529706,649.9361132672475
391.699527803634,641.675488299644
391.6837763656523,648.8051520483724
392.18139621487285,659.3740304016912
393.21016078083665,660.4394216624676
393.9290083032532,655.3011535864113
394.2492118001669,651.8984829842763
393.8031711869577,654.7187021470215
392.62995596513196,660.903301285106
391.5727248692232,653.4179455372143
391.4543279821123,644.4017988007602
391.2597658745316,644.2216967378387
391.02821380159,648.8091772497486
389.84163250524705,650.0051822260893
389.14095442406403,648.4853792497493
388.750639135778,649.4393555653714
389.47317949178057,652.6273731658812
389.8450212393649,651.3828437989364
390.3605670851267,643.1026603801894
390.28113258872054,646.6490069003303
390.65513369706514,656.6097970698722
391.66607938961863,657.439040130168
392.43963347689134,652.8422585767664
392.5850341377993,648.3293807200569
392.33774665019234,648.3629480834445
391.70269391477314,655.4533204901859
390.8053759750143,657.7393913684859
390.49634241402623,649.4661535737097
390.3929437272121,647.2443378989389
390.36034756580153,650.5439995494737
390.1592249571295,653.2426305923259
389.1250358401777,650.8646187149365
388.8286819766836,650.7988622671982
389.36889488474395,654.1232663452168
390.00307899216136,653.2347487376076
391.04978847075915,647.3503534361888
391.82096350303993,643.1371749209895
391.9877473875057,650.6214766021759
392.81659246253787,656.1133384474042
393.76177609467675,654.3881156313431
394.178962349455,648.9799312427929
394.28200903131545,647.4570093744834
393.71409506445434,652.2408460689234
392.40332410412753,655.5498208605311
391.3595276884715,648.0416252387031
390.51338321178116,643.2714996575475
390.24183624010664,645.2620265882658
389.77743271380507,649.9486663158766
388.9571359307912,649.4584965405372
387.4240134842034,648.2989726110247
387.627645614169,650.9666143077188
388.01770174959984,652.8788787381925
388.91531058767066,648.8836128637442
389.2303006178297,643.5694348054869
389.2253680558399,648.3247660250689
389.70247485728714,654.255514964589
390.736136370656,653.0738634080658
391.71057838857894,648.8536074142191
392.3861812323737,646.1426847819218
392.0954713828934,648.378769831548
391.05562061796377,653.9969758869779
389.91548516022146,653.1439264612962
389.85828651952613,644.6100867181264
389.4994659420894,645.1080605212791
389.3056767784377,648.9717980364088
387.99429997852684,650.8090793525631
387.94290008504186,649.1016259995047
388.566082884887,650.4806542824823
389.9370283371686,654.0579228301619
390.90764019061976,652.5936840582774
391.89921213584313,644.5833208829447
392.326654271337,644.0148376173897
392.5082331789345,651.712198128121
393.6410983154882,655.8038254130388
394.67771485830804,653.2512640023829
395.2809691154395,649.8026690535535
395.40887970070827,650.0852843111786
394.53119435661245,655.3702141053257
393.1835956928493,654.0712387304709
392.1962893606059,644.7943573599616
391.4949614580921,642.6010399379097
390.7774379566104,648.2683729040733
390.20488118960293,652.9692394069855
388.5552349402733,651.1158600755232
387.8647669657273,651.188034953354
388.6226632768104,654.8360317905774
389.1456884375664,654.3154905380175
389.68752347508234,648.3739262986484
390.1042330856626,645.415487995981
389.7976918198374,651.4267763070992
390.6622657267753,656.5288228059298
391.32951685081355,654.1324424910724
392.0052595020651,649.1326160535583
392.0617608074198,647.9302257027123
391.69496605890976,652.1154466463445
390.63521692118576,656.1986525578388
390.1219025726916,650.9315415512834
389.93904346303293,645.1332424370687
390.0212359487166,646.5398660369115
390.2443268348569,650.7065494974202
390.0019005287289,651.4320521392398
389.2350289571448,649.6225183814176
389.86373093876745,651.6890913084005
390.4756787933429,653.2743775267219
391.1937504028893,650.3666486259068
392.2041156733915,642.6123050236547
392.70393527922135,646.7123533612086
393.31532497916976,655.9770210194526
393.96117412055725,656.9219470413552
394.8663529860189,652.5505935143119
395.35342494138933,649.5230008145447
395.40969174757737,651.4790000948763
394.3935832162044,657.4558373312211
393.80224428814654,655.1262277853425
393.4167623771515,645.093004955382
392.3899680152107,644.4489473806526
391.5809011027674,648.8373344269039
391.2243083192523,650.9575880641198
390.1225922776945,648.5987738471962
390.21016255679,649.2839443527628
391.2901239203687,652.1609786331898
391.9293816172898,650.2175478974643
392.4635071623968,643.5402576874312
392.7881308461564,643.7570120540976
392.74545902148884,652.7241157463354
393.41884099027146,657.0890631169932
394.3515586111407,654.6488279762
395.08622336302153,650.3967736517566
395.2028165917742,650.5607430568264
394.47839912803306,656.525844609896
393.674961956571,657.266318080877
393.31206870344283,646.9648184370374
392.76039179080004,643.4346119463071
392.6384639817917,646.8422882091888
392.56831783539866,650.4379887003238
391.0492771369899,648.9006373184183
390.087483783543,647.9057220821018
391.2165157978525,651.662612063724
392.21162390750976,653.004918237769
393.56506939193696,647.2619955544747
394.3127368264669,643.9095321695979
394.72959427761896,650.4202170576358
395.62598891508526,657.4914585634486
396.713770110022,656.7301528567621
397.5283321991464,651.93247925683
397.8943108085225,650.1556587453036
397.21570236983234,654.1714395573459
395.73770395823215,659.3275326285876
394.6585436480482,654.2981124260026
394.2059642289993,645.95019118391
393.748778658345,646.4830704549282
393.6408528667189,650.5920710134988
392.59750747347323,650.8832584023928
392.334681081813,649.9485944270276
391.9866987396913,651.9971527041318
392.1187100400838,655.0482801003131
392.4956555008838,652.837552363002
393.50388055893757,644.5273476071238
393.60232626197785,648.9657170713715
393.8726563079374,659.0589878247902
394.797967330883,661.1608084067349
395.59862763275936,657.1843251004544
396.02463795714164,654.2468409664253
395.7200579330675,656.0414812868158
394.9893591930579,662.4930529191605
394.29820650320175,658.9470922752164
394.2351774002767,648.3958097852247
394.0124318485036,646.6242203823437
393.2187810422523,651.2655266277574
393.0031539002215,652.7938978451548
392.4052334920987,650.1645699162923
391.91869505231557,651.294117151839
392.80685261789733,655.5307678576477
393.9147431032735,654.6857138608261
395.0238600062404,647.6747482816005
395.5813069711453,647.7267325186136
395.72009463390157,657.5928083049798
396.4364012994759,662.0436791093296
397.09720605714983,659.7235063331601
397.37815381581015,654.7065144648188
397.3467737755953,653.7491240650295
396.6928543405942,659.2261780489748
395.76395814033776,662.1195374978062
395.3683784868483,651.0136882151664
394.4171940164131,646.2824279779852
393.8663279250201,648.8979094510591
393.70397500493067,653.200061332074
393.12373669958663,652.440901434539
392.44376345568367,651.6602979011298
392.50654255428094,655.0102879631553
393.074363637293,656.1047858933363
393.5669396442727,651.3650774180276
394.2258418022326,646.2175264490013
394.5661883203534,653.4370716277881
395.4222320448263,661.9011952122944
396.43005209251146,661.6765695851773
397.18013907890213,657.5689473313621
397.70109119345244,655.3931452963192
397.4451553758613,658.7463666274444
